一番	いちばん	most
最初	さいしょ	first; beginning
は	は	indicates sentence topic
あの	あの	um; well; excuse me
踵	かかと	heel
と	と	with; and
を	を	indicates target of action
合わせて	あわせて	to match; to join; to go along with; to fit in
です	です	to be; it is
ね	ね	sentence-ending particle expressing a seeking of agreement; you know?; right?
まあ	まあ	well...; hmm...
ちょっと	ちょっと	somewhat; slightly; a little bit
拳	こぶし	fist
一	いっ	one; 1
個	こ	counter for small objects
分	ぶん	just as much as; in proportion to
開けて	あけて	to open
いただいて	いただいて	to have someone do (X); indicates the action was favorable to the speaker
刃	は	blade
の	の	indicates possession; of
上	うえ	top side; top; addition
に	に	on; in; at; for; during
立てば	たてば	if (one) stands
初心者	しょしんしゃ	beginner; newbie
でも	でも	also; even
立てる	たてる	can stand up
か	か	indicates question or doubt
と。。。思います		to think
の	の	indicates an emphatic, demonstrative, or explanatory tone
で	で	because; therefore; so; indicates the reason for an action or effect
それ	それ	that; those; it
もう	もう	used as filler language
安心。。。して		to have relief; to have peace of mind
立って	たって	to stand
いただければ	いただければ	if (one) could receive; if someone would do (X) for me
いい	いい	good; fine; nice; right; okay
かな	かな	sentence-ending particle indicating wonderment or uncertainty
重心	じゅうしん	balance; center of gravity
後ろ	うしろ	back; rear
に	に	-ly; turns preceding adjective into an adverb
乗っかって	のっかって	to be loaded with; to be mounted on
しまう	しまう	indicates preceding action is regrettable or unfortunate
と	と	if; when; indicates a natural consequence of an action
頭	あたま	head; top
打つ	うつ	to hit; to strike
こと	こと	converts a phrase into a noun
が	が	indicates subject of sentence
多々	たた	much; many; a lot
あります	あります	to be; to have; to exist
方	かた	person; people
前傾	ぜんけい	forward leaning; forward tilt
で	で	indicates state of action
いただける	いただける	to have someone do (X) for oneself
大	おお	big; major
怪我	けが	injury
に。。。ならない		to not become
っていう	っていう	something like; a case where; apparently; that means
風	ふう	method; manner; way; style
思います	おもいます	to think
手すり	てすり	handrail
こう	こう	like this; in this way
両手	りょうて	both hands
で	で	by way of; using
持たない	もたない	to not have; to not carry; to not take
滑られない	すべられない	cannot slide; cannot slip; cannot skate
必ず	かならず	definitely; without fail; always
持って	もって	to hold; to have
徐々	じょじょ	gradual
慣れて	なれて	to get used to (something)
いき	いき	to continue to do (X); to go forward doing (X)
そして	そして	and; and then
片手	かたて	one hand
外して	はずして	to unfasten; to take off
最後	さいご	last; final; end
外す	はずす	to take off; to release
形	かたち	situation; status; form; like so
方	ほう	indicates the greater side of a comparison; more so
安全	あんぜん	safe
フィギュア	ふぃぎゅあ	figure; figurine
前	まえ	in front
ギザギザ	ぎざぎざ	jagged; rough; serrated
トー	とお	toe
普段	ふだん	usual; habitual; ordinary
歩いて	あるいて	to walk
る	る	to be (X)-ing; to be doing (X)
滑る	すべる	to slide; to slip; to skate
引っかかって	ひっかかって	to be caught; to be stuck
転ぶ	ころぶ	to trip; to fall down
可能性	かのうせい	possibility; likelihood; potential
広げて	ひろげて	to spread (something); to expand
歩く	あるく	to walk
に	に	to; toward; for; indicates direction or destination; indicates possession
繋がり	つながり	to connect; to lead
にくい	にくい	difficult to do (X)
と。。。言います		to say; to call
膝	ひざ	knee; lap
軽く	かるく	lightly; gently
曲げて	まげて	to bend
落として	おとして	to drop
ペンギン	ぺんぎん	penguin
歩き	あるき	to walk
すれば	すれば	if (one) does
大丈夫	だいじょうぶ	all right; okay; manageable
氷	こおり	ice
って	って	indicates subject of following phrase; indicates what is being defined
なの	なの	indicates an emphatic, demonstrative, or explanatory tone
自然	しぜん	natural
滑って	すべって	to slip; to slide; to skate
いく	いく	to continue to do (X); to go on doing (X)
ん	ん	indicates an emphatic, demonstrative, or explanatory tone
本当	ほんとう	truth; real
リラックス。。。して		to relax
片	かた	one-sided; single
足	あし	foot; leg
乗って	のって	to ride; to get on (a bus, a train, etc.)
乗った	のった	mounted; rode
ら	ら	if (X); when (X); while (X)
蹴った	けった	kicked
戻して	もどして	to restore; to put back
で	で	then; so then
また	また	additionally; also; again; as well as
押して	おして	to press; to push
そういう	そういう	that kind of; such kind of; like that
繰り返し	くりかえし	to repeat
動作	どうさ	movement; behavior
一方	いっぽう	one way; one direction; one side
ずつ	ずつ	apiece; each; at a time
出して	だして	to put out
いけば	いけば	if (one) goes on doing (X)
滑れる	すべれる	can slide; can slip; can skate
内股	うちまた	pigeon toe; intoeing
に。。。して		to make into (X); to treat as (X)
止まって	とまって	to stop
あげた	あげた	did (X) for someone
内	うち	inside; within
側	がわ	side; part
エッジ	えっじ	edge
止まる	とまる	to stop
よう	よう	like; as if; such that
に。。。なる		to become; will become
から	から	from; since
外	そと	outside; out
押す	おす	to press; to push
な	な	na part of na-adjective
感じ	かんじ	feeling; sensation; vibe
止まれば	とまれば	if (one) stops; if (one) halts
止まれる	とまれる	can stop; can halt
