Word,Kana,Romaji,English,Class
皆さん,みなさん,mina-san,everyone
今年,ことし,kotoshi,this year
会う,あう,au,to meet; V1,verb
結婚する,けっこんする,kekkon suru,to marry; -suru=class 3 verb
成田市,なりたし,Narita-shi,Narita-city
千葉県,ちばけん,Chiba-ken,Chiba prefecture (Kanto region)
足立区,あだちく,Adachi ku,Adachi ward
東京都,とうきょうと,Tōkyō-to,Tokyo Metropolitan area
彼女,かのじょ,kanojo,girlfriend,noun
名前,なまえ,namae,name
プロボクサー,プロボクサー,purobokusā,professional boxer
緊張する,きんちょうする,kinchō suru,to feel nervous,verb
犬,いぬ,inu,dog,noun
久しぶり。,ひさしぶり。,Hisashiburi.,Long time no see. (informal),expression
こちら,こちら,kochira,this person/ this direction,pronoun
彼氏,かれし,kareshi,boyfriend,noun
母,はは,haha,mother
あら,あら,ara,oh/ ah,expression
つまらない,つまらない,tsumaranai,boring/ uninteresting; -i adjective
でも,でも,demo,but/ however,conjunction
たのしい,たのしい,tanoshii,fun/ amusing; Adj (i),adjective
一人っ子,ひとりっこ,hitorikko,only child,noun
妹,いもうと,imōto,younger sister,noun
何人,なんにん,nannin,how many people,interrogative word
今年,ことし,kotoshi,this year
いくつ,いくつ,ikutsu,how many/ how old
- 才,- さい,- sai,-years old
兄弟,きょうだい,kyōdai,siblings
一人,ひとり,hitori,one person,noun
出身,しゅっしん,shusshin,person's origin/ hometown
来る,くる,kuru,to come [group3]
パパ,パパ,papa,Papa
お嬢さん,おじょうさん,o-jō-san,young lady/ daughter,noun
一緒に,いっしょに,issho ni,together
君,きみ,kimi,you; used by male speaker
それとも,それとも,soretomo,or/ either
金,かね,kane,money,noun
欲しい,ほしい,hoshii,want/ wish
結婚する,けっこんする,kekkon suru,to marry
ずっと,ずっと,zutto,by far/ all along/ the whole time
ぼく,ぼく,boku,I/ me (used by males),pronoun
俺,おれ,ore,I/ me [Used by men only. More casual and vulgar than watashi or boku.]
座る,すわる,suwaru,to sit; V1
働く,はたらく,hataraku,to work; V1,verb
ホームステイ,ホームステイ,hōmusutei,homestay/ to stay with a host family
住む,すむ,sumu,to live,verb
群馬,ぐんま,gunma,Gunma prefecture; area in Japan
アシスタント,アシスタント,ashisutanto,assistant
先生,せんせい,sensei,teacher,noun
英語,えいご,eigo,English language
日本語,にほんご,nihongo,Japanese language
かける,かける,kakeru,to sit/ to hang,verb
引越し,ひっこし,hikkoshi,moving/ changing residence
動物,どうぶつ,dōbutsu,animal
家族,かぞく,kazoku,family/ members of a family
新鮮(な),しんせん(な),shinsen(na),fresh;-na adjective
刺身,さしみ,sashimi,sliced raw fish/ Sashimi
スマート(な),すまーと(な),sumāto(na),slim/ smart/ stylish;-na adjective
ハンサム,ハンサム,hansamu(na),handsome; Adj(na),na-adjective
お入りください,おはいりください,Ohairikudasai.,Please come in.
おじゃまします,おじゃまします,Ojamashimasu.,excuse me for disturbing (interrupting) you,expression
こんばんは,こんばんは,Konbanwa,Good evening,expression
お上がりください,おあがりください,Oagarikudasai.,Please come in.
お帰りなさい。,おかえりなさい。,O-kaerinasai.,Welcome back/home.
ただいま,ただいま,Tadaima,Here I am/ I'm home!
にぎやか(な),にぎやか(な),nigiyaka(na),bustling/ busy/ lively;-na adjective
父,ちち,chichi,father
わざわざ,わざわざ,waza waza,taking so much trouble
もの,もの,mono,thing/ object
つまらない,つまらない,tsumaranai,dull/ uninteresting/ boring;-i adjective
申します,もうします,mōshimasu,(humble form) to be called/ to say; -masu form,verb
おばあさん,おばあさん,o-bā-san,grandmother,noun
お母さん,おかあさん,o-kā-san,mother,noun
お父さん,おとうさん,o-tō-san,father,noun
妹,いもうと,imōto,younger sister,noun
弟,おとうと,otōto,younger brother,noun
祖母,そぼ,sobo,grandmother
母,はは,haha,mother
冷たい,つめたい,tsumetai,cold (to the touch)/ chilly/ icy;-i adjective
皆さん,みなさん,mina-san,everyone
いかが,いかが,ikaga,how (polite form of "dō")
フルーツ,ふるーつ,furūtsu,fruit
トースト,トースト,tōsuto,toast
ヨーグルト,ヨーグルト,yōguruto,yoghurt/ yogurt
シリアル,シリアル,shiriaru,cereal
パン,パン,pan,bread,noun
ご飯,ごはん,gohan,rice (cooked)/ meal
朝ごはん, あさごはん,asa-gohan,breakfast
いつも,いつも,itsumo,always/ usually
コーヒー,コーヒー,kōhī,coffee,noun
お代わり,おかわり,okawari,second helping/ another cup
苦い,にがい,nigai,bitter; -i adjective
最高,さいこう,saikō,the most/ the extreme
飲みます,のみます,nomimasu,to drink; masu form,verb
飲む,のむ,nomu,to drink; dictionary form
行く,いく,iku,to go; dictionary form
こんぴらさん,こんぴらさん,konpira-san,The Kotohira Shrine (Mountain)
今夜,こんや,konya,this evening/ tonight
社会学,しゃかいがく,shakaigaku,social science/ sociology
社会,しゃかい,shakai,society,noun
専攻,せんこう,senkō,major/ subject
勤める,つとめる,tsutomeru,to work for/ to serve/ to fill a post;V2
コンサルティング,コンサルティング,konsarutingu,consulting
通う,かよう,kayou,to go somewhere frequently/ to commute
大学院,だいがくいん,daigakuin,graduate school,noun
帰る,かえる,kaeru,to go home/ to return;V1
男,おとこ,otoko,man
お客さん,おきゃくさん,o-kyaku-san,guest/ visitor/ customer
会社,かいしゃ,kaisha,company/ corporation
