残念	ざんねん	a shame/ regrettable
誘う	さそう	to invite/ to ask someone (V1)
今度	こんど	next time/ this time
海外	かいがい	overseas
給料日	きゅうりょうび	payday
メール	メール	e-mail 
一杯	いっぱい	a cup of ../ a drink
返事	へんじ	answer/ reply
赤ちゃん	あかちゃん	baby
達	たち	pluralizing suffix
予定	よてい	plan
退院	たいいん	leaving hospital
あいさつ	あいさつ	greeting
おじいちゃん	おじいちゃん	grandfather
上がる	あがる	to enter/ to come up; V1
お姉ちゃん	おねえちゃん	older sister/ elder sister
なる	なる	to become; V1
顔	かお	face
実は	じつは	the truth is/ actually
ぜひ	ぜひ	certainly/ without fail
急用	きゅうよう	urgent business
急に	きゅうに	suddenly/ all on a sudden; Adv.
パーティー	パーティー	party
仕方がない	しかたがない	it can't be helped/ it's inevitable
残業	ざんぎょう	overtime (work)
出張	しゅっちょう	business trip
バーベキュー	バーベキュー	barbeque
気にしない	きにしない	Don't worry.
コンビニ	コンビニ　	convenience store
妻	つま	wife
とめる	とめる	to stop; class 2
メートル	メートル	meter
信号	しんごう	traffic lights/ signal
まっすぐ	まっすぐ	straight
交差点	こうさてん	intersection
次	つぎ	next
曲がる	まがる	to turn; class 1 verb
角	かど	corner
紹介する	しょうかいする	to introduce
