FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
1,"一","one",2019-08-24 07:36:19,2019-09-04,3,0,2
2,"二","two",2019-08-24 07:38:17,2019-09-05,3,0,2
3,"三","three",2019-08-24 07:26:43,2019-08-29,3,0,2
4,"四","four",2019-08-24 07:36:19,2019-08-29,3,0,2
5,"五","five",2019-08-23 02:50:25,2019-08-30,3,0,2
6,"六","six",2019-08-21 16:30:45,2019-08-30,3,0,2
7,"七","seven",2019-08-23 15:13:45,2019-09-01,3,0,2
8,"八","eight",2019-08-24 07:42:30,2019-08-31,3,0,2
9,"九","nine",2019-08-24 07:23:15,2019-08-30,3,0,2
10,"十","ten",2019-08-24 07:42:30,2019-09-01,3,0,2
11,"口","mouth",2019-08-24 07:33:16,2019-09-05,3,0,2
12,"日","day",2019-08-24 07:17:58,2019-09-03,3,0,2
13,"月","month",2019-08-24 06:56:22,2019-08-31,3,0,2
14,"田","rice field",2019-08-24 07:36:19,2019-08-30,3,0,2
15,"目","eye",2019-08-24 07:37:23,2019-09-04,3,0,2
16,"古","old",2019-08-23 15:42:16,2019-08-31,3,0,2
17,"吾","I",2019-08-21 13:35:03,2019-08-26,3,0,2
18,"冒","risk",2019-08-24 06:56:22,2019-08-31,3,0,2
19,"朋","companion",2019-08-23 15:43:19,2019-09-01,3,0,2
20,"明","bright",2019-08-22 03:01:26,2019-08-31,3,0,2
21,"唱","chant",2019-08-24 07:21:34,2019-08-30,3,0,2
22,"晶","sparkle",2019-08-23 02:53:28,2019-08-29,3,0,2
23,"品","goods",2019-08-24 07:26:43,2019-09-02,3,0,2
24,"呂","spine",2019-08-21 16:19:28,2019-08-29,3,1,2
25,"昌","prosperous",2019-08-21 16:30:45,2019-08-27,3,1,2
26,"早","early",2019-08-24 07:35:04,2019-08-31,3,0,2
27,"旭","rising sun",2019-08-22 03:09:44,2019-08-29,3,0,2
28,"世","generation",2019-08-23 02:51:28,2019-08-28,3,0,2
29,"胃","stomach",2019-08-24 07:32:16,2019-08-30,3,0,2
30,"旦","nightbreak",2019-08-24 06:54:45,2019-09-01,3,0,2
31,"胆","gall bladder",2019-08-23 02:54:11,2019-08-28,3,1,2
32,"亘","span",2019-08-21 16:22:01,2019-08-26,3,0,2
33,"凹","concave",2019-08-21 16:26:02,2019-09-03,3,0,2
34,"凸","convex",2019-08-23 15:44:42,2019-08-29,3,0,2
35,"旧","olden times",2019-08-23 02:56:38,2019-08-28,3,1,2
36,"自","oneself",2019-08-23 15:13:45,2019-09-01,3,0,2
37,"白","white",2019-08-21 16:19:28,2019-08-30,3,0,2
